序号,漏洞名称,CVE编号,产品支持情况,漏洞修复缓解措施,修复优先级,,,,,,,,,,
1,SaltStack 代码执行漏洞(CVE-2021-25283),CVE-2021-25283,漏洞检测,1.将 SaltStack 升级到 3000.8、3001.6、3002.5 及以上版本，下载地址：https://repo.saltstack.com/ 或者下载相应版本的修复补丁进行更新，下载地址：https://gitlab.com/saltstack/open/salt-patches,优先修复,,,,,,,,,,
2,Apache Log4j 远程代码执行漏洞(CVE-2021-44228、CVE-2021-45046),CVE-2021-44228,漏洞检测,升级log4j,优先修复,,,,,,,,,,
3,Linux polkit本地权限提升漏洞(CVE-2021-4034),CVE-2021-4034,漏洞检测,升级polkit,优先修复,,,,,,,,,,
4,VMware vCenter Server 远程代码执行漏洞(CVE-2021-21972),CVE-2021-21972,漏洞检测,"1.将 VMware vCenter Server 升级到 6.5 U3n、6.7 U3l、7.0 U1c 及以上版本，下载地址：https://www.vmware.com/security/advisories/VMSA-2021-0002.html
 
 2.或者通过官方临时修复建议进行修复，更新地址：https://kb.vmware.com/s/article/82374",优先修复,,,,,,,,,,
5,Oracle WebLogic Server远程代码执行漏洞(CVE-2021-2109),CVE-2021-2109,漏洞检测,下载并安装WebLogic补丁，下载地址：https://www.oracle.com/security-alerts/cpujan2021.html,优先修复,,,,,,,,,,
6,Oracle WebLogic Server远程代码执行漏洞(CVE-2021-1994),CVE-2021-1994,漏洞检测,下载并安装WebLogic补丁，下载地址：https://www.oracle.com/security-alerts/cpujan2021.html,优先修复,,,,,,,,,,
7,JumpServer 未授权远程代码执行漏洞,,漏洞检测,将 JumpServer 升级到 2.4.5、2.5.4、2.6.2及以上版本，下载地址：https://github.com/jumpserver/jumpserver,优先修复,,,,,,,,,,
8,Apache Flink 未授权远程代码执行检查,,漏洞检测,为Flink配置登录认证，或者配置防火墙策略确保Flink接入安全，仅允许白名单IP进行访问,优先修复,,,,,,,,,,
10,Apache Flink 文件读取漏洞(CVE-2020-17519),CVE-2020-17519,漏洞检测,将 Flink 升级到 1.11.3、1.12.0及以上版本，下载地址：https://flink.apache.org/downloads.html,优先修复,,,,,,,,,,
11,Apache Unomi 远程代码执行漏洞(CVE-2020-13942),CVE-2020-13942,漏洞检测,将 Unomi 升级到 1.5.2 及以上版本，下载地址：http://unomi.incubator.apache.org/download.html,优先修复,,,,,,,,,,
